,path,label
0,D:\Lynn\AI-for-CV\Class_material\project\projectI\Data\train\rabbits\rabbits000.jpg,0
1,D:\Lynn\AI-for-CV\Class_material\project\projectI\Data\train\rabbits\rabbits001.jpg,0
2,D:\Lynn\AI-for-CV\Class_material\project\projectI\Data\train\rabbits\rabbits002.jpg,0
3,D:\Lynn\AI-for-CV\Class_material\project\projectI\Data\train\rabbits\rabbits003.jpg,0
4,D:\Lynn\AI-for-CV\Class_material\project\projectI\Data\train\rabbits\rabbits004.jpg,0
5,D:\Lynn\AI-for-CV\Class_material\project\projectI\Data\train\rabbits\rabbits005.jpg,0
6,D:\Lynn\AI-for-CV\Class_material\project\projectI\Data\train\rabbits\rabbits006.jpg,0
7,D:\Lynn\AI-for-CV\Class_material\project\projectI\Data\train\rabbits\rabbits007.jpg,0
8,D:\Lynn\AI-for-CV\Class_material\project\projectI\Data\train\rabbits\rabbits008.jpg,0
9,D:\Lynn\AI-for-CV\Class_material\project\projectI\Data\train\rabbits\rabbits009.jpg,0
10,D:\Lynn\AI-for-CV\Class_material\project\projectI\Data\train\rabbits\rabbits010.jpg,0
11,D:\Lynn\AI-for-CV\Class_material\project\projectI\Data\train\rabbits\rabbits011.jpg,0
12,D:\Lynn\AI-for-CV\Class_material\project\projectI\Data\train\rabbits\rabbits012.jpg,0
13,D:\Lynn\AI-for-CV\Class_material\project\projectI\Data\train\rabbits\rabbits013.jpg,0
14,D:\Lynn\AI-for-CV\Class_material\project\projectI\Data\train\rabbits\rabbits014.jpg,0
15,D:\Lynn\AI-for-CV\Class_material\project\projectI\Data\train\rabbits\rabbits015.jpg,0
16,D:\Lynn\AI-for-CV\Class_material\project\projectI\Data\train\rabbits\rabbits016.jpg,0
17,D:\Lynn\AI-for-CV\Class_material\project\projectI\Data\train\rabbits\rabbits017.jpg,0
18,D:\Lynn\AI-for-CV\Class_material\project\projectI\Data\train\rabbits\rabbits018.jpg,0
19,D:\Lynn\AI-for-CV\Class_material\project\projectI\Data\train\rabbits\rabbits019.jpg,0
20,D:\Lynn\AI-for-CV\Class_material\project\projectI\Data\train\rabbits\rabbits020.jpg,0
21,D:\Lynn\AI-for-CV\Class_material\project\projectI\Data\train\rabbits\rabbits021.jpg,0
22,D:\Lynn\AI-for-CV\Class_material\project\projectI\Data\train\rabbits\rabbits022.jpg,0
23,D:\Lynn\AI-for-CV\Class_material\project\projectI\Data\train\rabbits\rabbits023.jpg,0
24,D:\Lynn\AI-for-CV\Class_material\project\projectI\Data\train\rabbits\rabbits024.jpg,0
25,D:\Lynn\AI-for-CV\Class_material\project\projectI\Data\train\rabbits\rabbits025.jpg,0
26,D:\Lynn\AI-for-CV\Class_material\project\projectI\Data\train\rabbits\rabbits026.jpg,0
27,D:\Lynn\AI-for-CV\Class_material\project\projectI\Data\train\rabbits\rabbits027.jpg,0
